Violation Charged Code,Violation Description,Violation Year,Violation Month,Violation Day of Week,Age at Violation,Gender,State of License,Police Agency,Court,Source
1110A,DISOBEYED TRAFFIC DEVICE,2019,1,WEDNESDAY,34,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,1,THURSDAY,28,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1163AT,IMPROPER TURN,2019,6,SATURDAY,57,M,NEW JERSEY,NYC POLICE DEPT,QUEENS SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,1,WEDNESDAY,33,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1163AT,IMPROPER TURN,2019,3,THURSDAY,36,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,2,TUESDAY,42,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,6,SUNDAY,32,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,5,SATURDAY,38,F,NEW JERSEY,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,5,THURSDAY,73,F,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,1,MONDAY,25,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,8,THURSDAY,32,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,4,WEDNESDAY,34,M,PENNSYLVANIA,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
403A1,FLD YIELD PEDEST NYC,2019,5,FRIDAY,58,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
